variable,model,term,coef,std_err,stat,p_value,signif
us_house_price_idx,Mean,const,0.003647,0.001107,3.2934,0.00099,***
us_house_price_idx,AR,const,0.000695,0.000586,1.186,0.235606,
us_house_price_idx,AR,L1,0.858645,0.046654,18.4044,0.0,***
us_house_price_idx,ARMA,ar.L1,0.874364,0.036703,23.8228,0.0,***
us_house_price_idx,ARMA,sigma2,3.8e-05,4e-06,9.1256,0.0,***
us_house_price_idx,SARMA,ar.L1,0.874364,0.036703,23.8228,0.0,***
us_house_price_idx,SARMA,sigma2,3.8e-05,4e-06,9.1256,0.0,***
us_consumer_confidence,Mean,const,-0.005373,0.053814,-0.0999,0.920463,
us_consumer_confidence,AR,const,0.002896,0.026515,0.1092,0.913021,
us_consumer_confidence,AR,L1,1.380475,0.084695,16.2993,0.0,***
us_consumer_confidence,AR,L2,-1.279015,0.135196,-9.4605,0.0,***
us_consumer_confidence,AR,L3,0.756832,0.132871,5.696,0.0,***
us_consumer_confidence,AR,L4,-0.381224,0.082416,-4.6256,4e-06,***
us_consumer_confidence,ARMA,ma.L1,1.507536,0.071052,21.2173,0.0,***
us_consumer_confidence,ARMA,ma.L2,0.713466,0.069094,10.3259,0.0,***
us_consumer_confidence,ARMA,sigma2,0.085833,0.008054,10.6569,0.0,***
us_consumer_confidence,SARMA,ma.L1,1.525062,0.065892,23.1448,0.0,***
us_consumer_confidence,SARMA,ma.L2,0.789939,0.072703,10.8653,0.0,***
us_consumer_confidence,SARMA,ma.S.L4,-0.307004,0.108707,-2.8241,0.004741,***
us_consumer_confidence,SARMA,sigma2,0.081556,0.007505,10.8662,0.0,***
us_real_gdp,Mean,const,0.006189,0.000534,11.5942,0.0,***
us_real_gdp,AR,const,0.00376,0.000717,5.2418,0.0,***
us_real_gdp,AR,L1,0.396407,0.084437,4.6947,3e-06,***
us_real_gdp,ARMA,intercept,0.003058,0.000793,3.8579,0.000114,***
us_real_gdp,ARMA,ar.L1,0.321238,0.081162,3.958,7.6e-05,***
us_real_gdp,ARMA,ar.L2,0.182302,0.094593,1.9272,0.053952,*
us_real_gdp,ARMA,sigma2,2.7e-05,3e-06,9.7708,0.0,***
us_real_gdp,SARMA,intercept,0.003058,0.000793,3.8579,0.000114,***
us_real_gdp,SARMA,ar.L1,0.321238,0.081162,3.958,7.6e-05,***
us_real_gdp,SARMA,ar.L2,0.182302,0.094593,1.9272,0.053952,*
us_real_gdp,SARMA,sigma2,2.7e-05,3e-06,9.7708,0.0,***
us_gdp_yoy_growth,Mean,const,0.00446,0.072629,0.0614,0.951032,
us_gdp_yoy_growth,AR,const,0.029801,0.060819,0.49,0.624136,
us_gdp_yoy_growth,AR,L1,0.242851,0.0816,2.9761,0.002919,***
us_gdp_yoy_growth,AR,L2,0.074356,0.084558,0.8794,0.379211,
us_gdp_yoy_growth,AR,L3,0.029275,0.08453,0.3463,0.729093,
us_gdp_yoy_growth,AR,L4,-0.456627,0.081024,-5.6357,0.0,***
us_gdp_yoy_growth,ARMA,ar.L1,0.325639,0.085872,3.7921,0.000149,***
us_gdp_yoy_growth,ARMA,sigma2,0.555766,0.056226,9.8844,0.0,***
us_gdp_yoy_growth,SARMA,ar.L1,0.371251,0.087703,4.2331,2.3e-05,***
us_gdp_yoy_growth,SARMA,ar.S.L4,-0.587606,0.073354,-8.0106,0.0,***
us_gdp_yoy_growth,SARMA,ar.S.L8,-0.333615,0.070752,-4.7153,2e-06,***
us_gdp_yoy_growth,SARMA,sigma2,0.393144,0.041968,9.3676,0.0,***
us_bond_yield_10y,Mean,const,-0.056555,0.041764,-1.3541,0.175694,
us_bond_yield_10y,AR,const,-0.067348,0.042354,-1.5901,0.111812,
us_bond_yield_10y,AR,L1,0.03426,0.092398,0.3708,0.710798,
us_bond_yield_10y,AR,L2,-0.214865,0.091158,-2.3571,0.01842,**
us_bond_yield_10y,AR,L3,0.086285,0.091115,0.947,0.343645,
us_bond_yield_10y,AR,L4,-0.131619,0.091547,-1.4377,0.150514,
us_bond_yield_10y,ARMA,ar.L1,-1.280452,0.062021,-20.6453,0.0,***
us_bond_yield_10y,ARMA,ar.L2,-0.921278,0.048955,-18.8189,0.0,***
us_bond_yield_10y,ARMA,ma.L1,1.395483,0.06859,20.3453,0.0,***
us_bond_yield_10y,ARMA,ma.L2,0.972148,0.073662,13.1974,0.0,***
us_bond_yield_10y,ARMA,sigma2,0.18793,0.029926,6.2799,0.0,***
us_bond_yield_10y,SARMA,sigma2,0.209023,0.029449,7.0977,0.0,***
us_bond_yield_1y,Mean,const,-0.056807,0.045084,-1.26,0.207665,
us_bond_yield_1y,AR,const,-0.019187,0.042116,-0.4556,0.648701,
us_bond_yield_1y,AR,L1,0.186403,0.092292,2.0197,0.043414,**
us_bond_yield_1y,AR,L2,0.084885,0.088327,0.961,0.336532,
us_bond_yield_1y,AR,L3,0.317245,0.088509,3.5843,0.000338,***
us_bond_yield_1y,AR,L4,-0.130029,0.091461,-1.4217,0.155115,
us_bond_yield_1y,ARMA,ma.L1,0.168149,0.062864,2.6748,0.007477,***
us_bond_yield_1y,ARMA,ma.L2,0.133903,0.06579,2.0353,0.041818,**
us_bond_yield_1y,ARMA,ma.L3,0.353004,0.080956,4.3604,1.3e-05,***
us_bond_yield_1y,ARMA,sigma2,0.200286,0.018864,10.6173,0.0,***
us_bond_yield_1y,SARMA,ar.L1,0.16879,0.065329,2.5837,0.009775,***
us_bond_yield_1y,SARMA,ar.L2,0.085157,0.07162,1.189,0.234433,
us_bond_yield_1y,SARMA,ar.L3,0.300223,0.080208,3.7431,0.000182,***
us_bond_yield_1y,SARMA,sigma2,0.202698,0.01941,10.4428,0.0,***
us_term_spread,Mean,const,1.46725,0.096494,15.2056,0.0,***
us_term_spread,AR,const,0.169762,0.059465,2.8548,0.004306,***
us_term_spread,AR,L1,1.062927,0.090266,11.7755,0.0,***
us_term_spread,AR,L2,-0.002968,0.132933,-0.0223,0.982188,
us_term_spread,AR,L3,0.058819,0.132244,0.4448,0.656484,
us_term_spread,AR,L4,-0.236014,0.089369,-2.6409,0.008269,***
us_term_spread,ARMA,intercept,0.098801,0.028766,3.4346,0.000593,***
us_term_spread,ARMA,ar.L1,0.985474,0.106991,9.2108,0.0,***
us_term_spread,ARMA,ar.L2,0.757054,0.204421,3.7034,0.000213,***
us_term_spread,ARMA,ar.L3,-0.811278,0.123297,-6.5799,0.0,***
us_term_spread,ARMA,ma.L1,0.134498,0.1052,1.2785,0.201072,
us_term_spread,ARMA,ma.L2,-0.800704,0.108224,-7.3986,0.0,***
us_term_spread,ARMA,sigma2,0.114641,0.015192,7.5463,0.0,***
us_term_spread,SARMA,intercept,0.060754,0.018011,3.3732,0.000743,***
us_term_spread,SARMA,ar.L1,1.881577,0.053816,34.9632,0.0,***
us_term_spread,SARMA,ar.L2,-0.918334,0.05026,-18.2718,0.0,***
us_term_spread,SARMA,ma.L1,-0.847292,0.110193,-7.6892,0.0,***
us_term_spread,SARMA,ma.L2,0.060777,0.113243,0.5367,0.591482,
us_term_spread,SARMA,ar.S.L4,-0.15762,0.093409,-1.6874,0.091523,*
us_term_spread,SARMA,sigma2,0.11685,0.015638,7.4723,0.0,***
us_reer,Mean,const,0.001026,0.002439,0.4208,0.673899,
us_reer,AR,const,0.001039,0.002437,0.4262,0.669931,
us_reer,AR,L1,0.102287,0.098694,1.0364,0.300014,
us_reer,ARMA,sigma2,0.000608,9.4e-05,6.4512,0.0,***
us_reer,SARMA,sigma2,0.000608,9.4e-05,6.4512,0.0,***
us_reer_log_ret,Mean,const,0.001026,0.002439,0.4208,0.673899,
us_reer_log_ret,AR,const,0.001039,0.002437,0.4262,0.669931,
us_reer_log_ret,AR,L1,0.102287,0.098694,1.0364,0.300014,
us_reer_log_ret,ARMA,sigma2,0.000608,9.4e-05,6.4512,0.0,***
us_reer_log_ret,SARMA,sigma2,0.000608,9.4e-05,6.4512,0.0,***
us_oil_price,Mean,const,0.009249,0.017668,0.5235,0.600654,
us_oil_price,AR,const,0.008742,0.01555,0.5622,0.574007,
us_oil_price,AR,L1,0.02852,0.091044,0.3133,0.754087,
us_oil_price,AR,L2,-0.257728,0.080643,-3.1959,0.001394,***
us_oil_price,AR,L3,0.052907,0.083329,0.6349,0.525485,
us_oil_price,ARMA,ma.L1,-0.075071,0.082327,-0.9119,0.361839,
us_oil_price,ARMA,ma.L2,-0.277651,0.076348,-3.6366,0.000276,***
us_oil_price,ARMA,sigma2,0.034146,0.002942,11.6061,0.0,***
us_oil_price,SARMA,sigma2,0.036921,0.002632,14.0273,0.0,***
us_oil_log_ret,Mean,const,0.008579,0.017533,0.4893,0.624645,
us_oil_log_ret,AR,const,0.008907,0.015569,0.5721,0.567247,
us_oil_log_ret,AR,L1,0.029211,0.091091,0.3207,0.748456,
us_oil_log_ret,AR,L2,-0.262203,0.08357,-3.1375,0.001704,***
us_oil_log_ret,AR,L3,0.051529,0.083589,0.6165,0.537592,
us_oil_log_ret,AR,L4,-0.017071,0.083844,-0.2036,0.83866,
us_oil_log_ret,ARMA,ma.L1,-0.083481,0.080487,-1.0372,0.299644,
us_oil_log_ret,ARMA,ma.L2,-0.261379,0.074866,-3.4913,0.000481,***
us_oil_log_ret,ARMA,sigma2,0.033959,0.002742,12.3833,0.0,***
