variable,model,term,coef,std_err,stat,p_value,signif
us_real_gdp,Mean,const,0.006105,0.000927,6.5832,0.0,***
us_unemployment,ARMA,sigma2,0.488112,0.010707,45.5874,0.0,***
us_cpi,Mean,const,-0.01807,0.075495,-0.2394,0.810831,
us_consumer_confidence,SARMA,intercept,0.000226,0.002675,0.0843,0.932799,
us_consumer_confidence,SARMA,ar.L1,0.786985,0.272528,2.8877,0.003881,***
us_consumer_confidence,SARMA,ar.L2,0.211203,0.399272,0.529,0.596826,
us_consumer_confidence,SARMA,ar.L3,-0.367244,0.267787,-1.3714,0.170249,
us_consumer_confidence,SARMA,ma.L1,-0.172459,0.284166,-0.6069,0.543919,
us_consumer_confidence,SARMA,ma.L2,-0.800491,0.23341,-3.4295,0.000605,***
us_consumer_confidence,SARMA,ma.S.L4,0.075389,0.158167,0.4766,0.633616,
us_consumer_confidence,SARMA,sigma2,0.192811,0.022231,8.6732,0.0,***
us_bond_yield_10y,Mean,const,-0.031119,0.038039,-0.8181,0.413315,
us_credit,ARMA,ma.L1,-0.525033,0.084259,-6.2312,0.0,***
us_credit,ARMA,ma.L2,0.084639,0.071714,1.1802,0.23791,
us_credit,ARMA,sigma2,2.5e-05,2e-06,11.9682,0.0,***
us_sp500_close,Mean,const,0.020997,0.00665,3.1573,0.001592,***
us_vix,AR,const,6.872877,1.883136,3.6497,0.000263,***
us_vix,AR,L1,0.4209,0.08446,4.9834,1e-06,***
us_vix,AR,L2,0.136496,0.090856,1.5023,0.13301,
us_vix,AR,L3,0.057384,0.090339,0.6352,0.525292,
us_vix,AR,L4,0.027463,0.083601,0.3285,0.742538,
us_house_price_idx,AR,const,0.000826,0.000595,1.3876,0.165262,
us_house_price_idx,AR,L1,0.844784,0.044211,19.1078,0.0,***
us_industrial_production,SARMA,intercept,0.002157,0.001538,1.4029,0.160657,
us_industrial_production,SARMA,ar.L1,0.356772,0.052203,6.8343,0.0,***
us_industrial_production,SARMA,sigma2,0.0002,1.3e-05,15.3663,0.0,***
us_oil_price,Mean,const,0.007238,0.017903,0.4043,0.686001,
us_reer,ARMA,sigma2,0.000621,9e-05,6.8918,0.0,***
