variable,group,model,transform,est_order,seasonal_order,full_order,k_params,logLik,AIC,BIC,HQIC,sigma2,ljung_box_p,selected_cv,selected_test,RMSE_stationary
us_house_price_idx,us_house_price_idx,Mean,dlog,"(0,0,0)",,"(0,1,0) on log-levels",2,357.175,-710.349,-704.791,,0.0001447,,False,False,0.008879
us_house_price_idx,us_house_price_idx,AR,dlog,"(1,0,0)",,"(1,1,0) on log-levels",2,434.156,-862.313,-854.001,-858.938,3.73e-05,0.0582,True,False,0.008953
us_house_price_idx,us_house_price_idx,ARMA,dlog,"(1,0,0)",,"(1,1,0) on log-levels",2,436.606,-869.213,-863.655,-866.956,3.758e-05,0.1814,False,True,0.008826
us_house_price_idx,us_house_price_idx,SARMA,dlog,"(1,0,0)",,"(1,1,0) on log-levels",2,436.606,-869.213,-863.655,-866.956,3.758e-05,0.1814,False,False,0.008826
us_consumer_confidence,us_consumer_confidence,Mean,diff,"(0,0,0)",,"(0,1,0)",2,-104.965,213.931,219.489,,0.3417,,False,True,0.369831
us_consumer_confidence,us_consumer_confidence,AR,diff,"(4,0,0)",,"(4,1,0)",5,-18.502,49.004,65.474,55.689,0.08077,0.5309,False,False,0.389459
us_consumer_confidence,us_consumer_confidence,ARMA,diff,"(0,0,2)",,"(0,1,2)",3,-24.218,54.435,62.773,57.821,0.08583,0.4374,False,False,0.370556
us_consumer_confidence,us_consumer_confidence,SARMA,diff,"(0,0,2)(0,0,1)[4]","(0,0,1)[4]","(0,1,2)(0,0,1)[4]",4,-21.318,50.635,61.752,55.149,0.08156,0.6352,True,False,0.370556
us_real_gdp,gdp,Mean,dlog,"(0,0,0)",,"(0,1,0) on log-levels",2,444.01,-884.019,-878.461,,3.363e-05,,True,False,0.004185
us_real_gdp,gdp,AR,dlog,"(1,0,0)",,"(1,1,0) on log-levels",2,449.982,-893.964,-885.652,-890.589,2.853e-05,0.6125,False,False,0.00419
us_real_gdp,gdp,ARMA,dlog,"(2,0,0)",,"(2,1,0) on log-levels",4,456.086,-904.173,-893.056,-899.659,2.735e-05,0.9344,False,True,0.004184
us_real_gdp,gdp,SARMA,dlog,"(2,0,0)",,"(2,1,0) on log-levels",4,456.086,-904.173,-893.056,-899.659,2.735e-05,0.9344,False,False,0.004184
us_gdp_yoy_growth,gdp,Mean,none+diff,"(0,0,0)",,"(0,1,0)",2,-140.645,285.29,290.848,,0.6224,,False,False,0.748246
us_gdp_yoy_growth,gdp,AR,none+diff,"(4,0,0)",,"(4,1,0)",5,-113.99,239.979,256.449,246.664,0.4251,0.0255,False,False,0.790697
us_gdp_yoy_growth,gdp,ARMA,none+diff,"(1,0,0)",,"(1,1,0)",2,-133.96,271.92,277.478,274.177,0.5558,0.0005,False,True,0.746833
us_gdp_yoy_growth,gdp,SARMA,none+diff,"(1,0,0)(2,0,0)[4]","(2,0,0)[4]","(1,1,0)(2,0,0)[4]",4,-114.273,236.546,247.663,241.06,0.3931,0.7897,True,False,0.76171
us_bond_yield_10y,us_bond_yield_10y,Mean,diff,"(0,0,0)",,"(0,1,0)",2,-74.8,153.6,159.158,,0.2058,,True,False,0.463187
