variable,group,base,adf_p_base,escalated,final_transform,adf_p_final,n_train
us_house_price_idx,us_house_price_idx,dlog,0.0345,False,dlog,0.0345,119
us_consumer_confidence,us_consumer_confidence,diff,0.0,False,diff,0.0,119
us_real_gdp,gdp,dlog,0.0,False,dlog,0.0,119
us_gdp_yoy_growth,gdp,none,0.1844,True,none+diff,0.0068,119
us_bond_yield_10y,us_bond_yield_10y,diff,0.0,False,diff,0.0,119
us_bond_yield_1y,us_bond_yield_1y,diff,0.0009,False,diff,0.0009,119
us_term_spread,us_term_spread,none,0.0094,False,none,0.0094,120
us_reer,reer,dlog,0.0,False,dlog,0.0,103
us_reer_log_ret,reer,none,0.0,False,none,0.0,103
us_oil_price,oil,dlog,0.0,False,dlog,0.0,119
us_oil_log_ret,oil,none,0.0,False,none,0.0,120
us_credit,credit,dlog,0.0773,True,dlog+diff,0.0013,118
us_credit_qoq_growth,credit,none,0.0729,True,none+diff,0.0015,119
us_credit_yoy_growth,credit,none,0.4091,True,none+diff,0.0002,119
us_industrial_production,us_industrial_production,dlog,0.0,False,dlog,0.0,119
us_vix,vix,none,0.0016,False,none,0.0016,120
us_vix_log_ret,vix,none,0.0,False,none,0.0,119
us_delinquency_rate,us_delinquency_rate,diff,0.0,False,diff,0.0,115
us_cpi,us_cpi,none,0.1,True,none+diff,0.0001,119
us_unemployment,us_unemployment,diff,0.0012,False,diff,0.0012,119
us_sp500_close,sp500,dlog,0.0,False,dlog,0.0,119
us_sp500_log_ret,sp500,none,0.0,False,none,0.0,120
