,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth,uk_house_price_yoy,uk_indprod_yoy,uk_oil_yoy,uk_reer_interp,uk_reer_diff,uk_bond_yield_10y_d1
1990-03-31,51.5514289699055,6.1,6.8,99.3636,379458.0,1.2936051167607987,12.42,,17.95,1456.819,6.233323780626088,10.164942778195377,103.3,2247.89990234375,-7.215092762253661,,,,112.63,,
1990-06-30,50.42746714024,8.0,6.7,99.44321,381997.0,1.338635525572296,11.8,,15.73,1610.838,10.572281113851488,29.14402811149353,105.0,2374.60009765625,5.636380658248941,,,,112.63,0.0,-0.6199999999999992
1990-09-30,49.2501253261601,8.8,6.8,99.08965,377831.0,0.0683311571537226,12.1,,41.0,1755.957,9.008913373039372,29.77174099409361,102.0,1990.199951171875,-16.187995059200965,,,,112.63,0.0,0.29999999999999893
1990-12-31,47.9905127214458,9.2,7.1,98.61443,375916.0,-0.4217129173421541,10.84,,28.35,1846.778,5.172165377625992,34.669691447556005,100.9,2143.5,7.702746085279433,,,,112.63,0.0,-1.2599999999999998
1991-03-31,46.6197340437972,8.4,7.7,98.92657,374060.0,-1.4225553289165085,10.29,,18.0,1692.002,-8.380866568694234,16.143597797667386,99.5,2456.5,14.60228598087241,-9.566553293774472,-3.678606001936102,0.278551532033422,112.63,0.0,-0.5500000000000007
1991-06-30,45.1221382252221,7.7,8.5,99.74503,373608.0,-2.1960905452137025,10.58,,18.48,1638.462,-3.1642988601668254,1.714883805820322,99.7,2414.800048828125,-1.697535158635255,-10.520712651031328,-5.047619047619046,17.48251748251748,112.63,0.0,0.2900000000000009
1991-09-30,44.5594212819456,7.3,9.0,100.414,372878.0,-1.3109035521172152,9.64,,21.43,1781.766,8.746251057394083,1.4697968116531346,97.9,2621.699951171875,8.56799313235712,-9.52424793470108,-4.019607843137251,-47.731707317073166,112.63,0.0,-0.9399999999999995
1991-12-31,43.9475978826296,6.5,9.1,100.3938,373357.0,-0.680737185967073,9.66,,17.75,1896.386,6.432943495386034,2.686191843307628,99.0,2493.10009765625,-4.9052086779855175,-8.42440434483943,-1.8830525272547138,-37.38977072310406,112.63,0.0,0.019999999999999574
1992-03-31,43.1132945148343,6.3,9.3,100.4274,373317.0,-0.198631235630653,9.68,,19.09,1773.281,-6.491558153245169,4.803717726101975,99.2,2440.10009765625,-2.1258673107359405,-7.521363218564813,-0.3015075376884391,6.055555555555547,112.63,0.0,0.019999999999999574
1992-06-30,42.1101613756707,5.0,9.8,100.0155,372751.0,-0.2293848097471129,9.12,,20.6,1966.529,10.897765216003563,20.022862904357865,98.8,2521.199951171875,3.323628141055468,-6.675164271953282,-0.9027081243731305,11.471861471861477,112.63,0.0,-0.5600000000000005
1992-09-30,41.5670263865988,4.0,9.9,99.1453,374537.0,0.4449176406223998,9.19,,20.18,1864.409,-5.192905876292686,4.6382633858767175,100.2,2553.0,1.261306102014803,-6.715515617702272,2.3493360572012234,-5.8329444703686395,112.63,0.0,0.07000000000000028
1992-12-31,40.3253848486629,3.3,10.4,99.3828,377418.0,1.0876989048015815,8.32,,17.85,1660.625,-10.930219710374711,-12.432120886781483,99.8,2846.5,11.496278887583244,-8.24211836023554,0.8080808080808133,0.5633802816901401,112.63,0.0,-0.8699999999999992
1993-03-31,40.1618071792059,3.1,10.6,100.0273,379370.0,1.6214102224115123,7.72,,18.7,1652.12,-0.512156567557398,-6.8325888564756525,100.5,2878.699951171875,1.131212055923947,-6.845886793951362,1.310483870967749,-2.0429544264012556,112.63,0.0,-0.6000000000000005
1993-06-30,40.3177973455655,2.3,10.4,100.583,381045.0,2.2250778669943294,7.96,,17.43,1694.039,2.53728542720868,-13.856393676370905,100.8,2900.0,0.739919032529035,-4.256369416671824,2.0242914979757165,-15.388349514563116,112.63,0.0,0.2400000000000002
1993-09-30,40.3636614417584,2.5,10.2,100.9989,384524.0,2.6664922290721598,6.96,,17.23,1743.053,2.8933218184469256,-6.509086793723906,102.3,3037.5,4.741379310344818,-2.894998871577592,2.095808383233533,-14.618434093161547,112.63,0.0,-1.0
1993-12-31,39.9098126861345,2.2,10.3,101.0014,387143.0,2.576718651468668,6.4253,,13.18,1779.347,2.082208630489135,7.149235980429047,103.8,3418.39990234375,12.539914480452683,-1.0305472944350025,4.008016032064132,-26.162464985994404,112.63,0.0,-0.5347
1994-03-31,40.5018482930965,2.4,9.9,100.5763,391026.0,3.072462240029528,7.417,112.63,13.25,1768.2,-0.6264657764899151,7.0261240103624445,105.2,3086.39990234375,-9.712146310686808,0.8466778209787806,4.676616915422893,-29.14438502673796,112.63,0.0,0.9916999999999998
1994-06-30,40.6426711179097,2.4,9.7,100.233,394588.0,3.554173391594162,8.7105,113.09,17.45,1820.679,2.9679334916864697,7.475624823277394,106.6,2919.199951171875,-5.417313260180789,0.8057825420364484,5.753968253968256,0.11474469305794432,113.09,0.46000000000000796,1.2934999999999999
1994-09-30,40.6338677894024,2.1,9.4,100.0999,398566.0,3.65178766474914,8.8959,111.35,16.73,1897.2,4.202882550960374,8.843506192869643,108.6,3026.300048828125,3.6688167802022553,0.6694297246395475,6.158357771260992,-2.901915264074284,111.35,-1.740000000000009,0.18539999999999957
1994-12-31,40.6298807769907,2.1,9.0,99.80414,400279.0,3.393061478575099,8.5814,111.87,16.23,1920.452,1.225595614589925,7.930156400072619,109.8,3065.5,1.295309471612183,1.8042382120885492,5.780346820809257,23.14112291350532,111.87,0.5200000000000102,-0.3144999999999989
