,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_delinquency_rate,us_sp500_close,us_sp500_log_ret,us_house_price_yoy,us_indprod_yoy,us_oil_yoy,us_reer_interp,us_reer_diff,us_bond_yield_10y_d1,us_house_price_yoy_L3,us_consumer_confidence_L2,us_unemployment_L1,us_credit_qoq_growth_L6,us_gdp_yoy_growth_L0,us_cpi_L6,us_bond_yield_10y_d1_L2,us_sp500_log_ret_L4,us_reer_diff_L1,us_indprod_yoy_L3,us_oil_yoy_L2,us_vix_log_ret_L0
1990-03-31,77.2043845162229,5.232877,5.3,99.83252,10047.386,2.821006526483294,8.59,8.35,0.2400000000000002,,,20.34,-0.0711537602562903,7192.124,1.7858350865801451,8.094812184744548,62.5999,19.73,,,339.94000244140625,-0.0388314039836742,,,,88.27,,,,,,,2.821006526483294,,,,,,,
1990-06-30,76.4490582714173,4.58221,5.333333,99.29954,10083.855,2.412704964193124,8.48,8.05,0.4299999999999997,,,17.05,-0.176439186890888,7303.613,1.5501540296023908,7.159417763700371,62.8382,15.5,-0.2413002961093231,,358.0199890136719,0.0518196814446125,,,,88.27,0.0,-0.10999999999999943,,,5.3,,2.412704964193124,,,,,,,-0.2413002961093231
1990-09-30,75.6005698784759,5.53476,5.7,97.94815,10090.569,1.7273622503686914,8.89,7.69,1.2000000000000002,,,39.53,0.8409096735790683,7384.432,1.1065619166842344,6.583452530270728,62.9523,29.11,0.6302417338323308,,306.04998779296875,-0.1568403726643556,,,,88.27,0.0,0.41000000000000014,,99.83252,5.333333,,1.7273622503686914,,,,0.0,,,0.6302417338323308
1990-12-31,74.4160516992853,6.223517,6.133333,97.12814,9998.704,0.6030627340393391,8.08,6.82,1.2599999999999998,,,28.48,-0.3278577907648191,7458.077,0.9973008079700696,5.549709040752981,61.3352,26.38,-0.0984756104683633,,330.2200012207031,0.076010655288986,,,,88.27,0.0,-0.8100000000000005,,99.29954,5.7,,0.6030627340393391,,-0.10999999999999943,,0.0,,,-0.0984756104683633
1991-03-31,74.5810986520791,5.285082,6.6,97.72501,9951.916,-0.9501973946258402,8.11,6.28,1.8299999999999992,,,19.63,-0.3721430782554055,7468.526,0.1401031391872198,3.843120613604545,60.3346,16.88,-0.4464766581213575,5.26,375.2200012207031,0.1277534211684422,-3.397845706020186,-3.61869587651098,-3.4906588003933203,88.27,0.0,0.02999999999999936,,97.94815,6.133333,,-0.9501973946258402,,0.41000000000000014,-0.0388314039836742,0.0,,,-0.4464766581213575
1991-06-30,74.1845969590247,4.845361,6.833333,98.79539,10029.51,-0.5389307958117096,8.28,6.32,1.959999999999999,,,20.56,0.0462884322985946,7538.276,0.9339192231506032,3.2129714430378487,61.5581,19.55,0.1468457972635637,5.48,371.1600036621094,-0.0108792775171264,-2.96205259239829,-2.037136646180182,20.586510263929615,88.27,0.0,0.16999999999999993,,97.12814,6.6,,-0.5389307958117096,,-0.8100000000000005,0.0518196814446125,0.0,,,0.1468457972635637
1991-09-30,73.8102516891055,3.876362,6.866667,99.22391,10080.195,-0.1028088703421969,7.65,5.42,2.2300000000000004,,,22.25,0.078994568025285,7540.773,0.0331242846507651,2.117170284728753,62.2195,15.85,-0.2098057861080852,5.35,387.8599853515625,0.0440111656491235,-2.3681279020095203,-1.1640559598299127,-43.713635213761705,88.27,0.0,-0.629999999999999,,97.72501,6.833333,1.7858350865801451,-0.1028088703421969,5.232877,0.02999999999999936,-0.1568403726643556,0.0,,-3.4906588003933203,-0.2098057861080852
1991-12-31,73.9161140092293,2.991773,7.1,99.06947,10115.329,1.1664011655910578,7.09,4.12,2.97,,,19.15,-0.1500392929855943,7581.419,0.5390163581372898,1.653804325163177,61.7852,19.31,0.1974535961171334,5.32,417.0899963378906,0.072657605068658,-0.6718143177983249,0.7336733229858172,-32.759831460674164,88.27,0.0,-0.5600000000000005,-3.397845706020186,98.79539,6.866667,1.5501540296023908,1.1664011655910578,4.58221,0.16999999999999993,0.076010655288986,0.0,-3.61869587651098,20.586510263929615,0.1974535961171334
1992-03-31,74.343754939348,2.868447,7.366667,99.41574,10236.435,2.858936912248855,7.54,4.54,3.0,,,19.49,0.0175987978928144,7615.218,0.4458136399003942,1.9641358950882597,62.4232,16.18,-0.1768471848100773,5.27,403.6900024414063,-0.0326547543390598,-0.31823574205886995,3.4616952793256273,-0.713194090677538,88.27,0.0,0.4500000000000002,-2.96205259239829,99.22391,7.1,1.1065619166842344,2.858936912248855,5.53476,-0.629999999999999,0.1277534211684422,0.0,-2.037136646180182,-43.713635213761705,-0.1768471848100773
1992-06-30,73.7520437426397,3.097345,7.6,99.69566,10347.429,3.169835814511379,7.26,4.05,3.21,,,21.84,0.113841637357235,7656.355,0.5401946470869223,1.566392634071767,63.1363,13.35,-0.1922595267840871,5.1,408.1400146484375,0.0109630259612968,-0.5830768570784572,2.563756841098086,6.22568093385214,88.27,0.0,-0.28000000000000025,-2.3681279020095203,99.06947,7.366667,0.9973008079700696,3.169835814511379,6.223517,-0.5600000000000005,-0.0108792775171264,0.0,-1.1640559598299127,-32.759831460674164,-0.1922595267840871
