,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth
1920-03-31,,,,,,,,,,,,,28.69,,
1920-06-30,,,,,,,,,,,,,29.69,,
1920-09-30,,,,,,,,,,,,,28.77,,
1920-12-31,,,,,,,,,,,,,24.89,,
1921-03-31,,,,,,,,,,,,,19.69,,
1921-06-30,,,,,,,,,,,,,13.75,,
1921-09-30,,,,,,,,,,,,,21.49,,
1921-12-31,,,,,,,,,,,,,20.64,,
1922-03-31,,,,,,,,,,,,,21.19,,
1922-06-30,,,,,,,,,,,,,22.47,,
1922-09-30,,,,,,,,,,,,,24.87,,
1922-12-31,,,,,,,,,,,,,22.14,,
1923-03-31,,,,,,,,,,,,,23.87,,
1923-06-30,,,,,,,,,,,,,26.09,,
1923-09-30,,,,,,,,,,,,,23.59,,
1923-12-31,,,,,,,,,,,,,25.47,,
1924-03-31,,,,,,,,,,,,,23.52,,
1924-06-30,,,,,,,,,,,,,26.14,,
1924-09-30,,,,,,,,,,,,,25.12,,
1924-12-31,,,,,,,,,,,,,25.47,,
1925-03-31,,,,,,,,,,,,,24.22,,
1925-06-30,,,,,,,,,,,,,25.24,,
1925-09-30,,,,,,,,,,,,,23.07,,
1925-12-31,,,,,,,,,,,,,24.62,,
1926-03-31,,,,,,,,,,,,,24.07,,
1926-06-30,,,,,,,,,,,,,15.3,,
1926-09-30,,,,,,,,,,,,,15.37,,
1926-12-31,,,,,,,,,,,,,19.12,,
1927-03-31,,,,,,,,,,,,,29.62,,
1927-06-30,,,,,,,,,,,,,27.37,,
1927-09-30,,,,,,,,,,,,,27.07,,
1927-12-31,,,,,,,,,,,,,26.24,,
1928-03-31,,,,,,,,,,,,,24.97,,
1928-06-30,,,,,,,,,,,,,26.89,,
1928-09-30,,,,,,,,,,,,,24.14,,
1928-12-31,,,,,,,,,,,,,26.84,,
1929-03-31,,,,,,,,,,,,,25.97,,
1929-06-30,,,,,,,,,,,,,29.69,,
1929-09-30,,,,,,,,,,,,,27.54,,
1929-12-31,,,,,,,,,,,,,28.24,,
1930-03-31,,,,,,,,,,,,,25.29,,
1930-06-30,,,,,,,,,,,,,25.92,,
1930-09-30,,,,,,,,,,,,,22.52,,
1930-12-31,,,,,,,,,,,,,22.14,,
1931-03-31,,,,,,,,,,,,,20.27,,
1931-06-30,,,,,,,,,,,,,20.47,,
1931-09-30,,,,,,,,,,,,,21.12,,
1931-12-31,,,,,,,,,,,,,22.34,,
1932-03-31,,,,,,,,,,,,,21.97,,
1932-06-30,,,,,,,,,,,,,21.19,,
