,ols_forecast,ols_ci_lower,ols_ci_upper,log_ols_forecast,log_ols_ci_lower,log_ols_ci_upper
2026-03-31,3.255104815348092,1.8337009888222588,4.676508641873925,3.146301434777224,2.078516797688264,4.76263301287301
2026-06-30,2.35086899411826,0.8983721196448193,3.8033658685917002,2.4788863002635835,1.6228235986727684,3.7865343433877134
2026-09-30,2.9405165128731436,1.5029400318828643,4.378092993863423,2.897140431877488,1.904908830040596,4.406207031882151
2026-12-31,3.2061287128336726,1.775761749038986,4.636495676628359,3.1183080744834832,2.054645419640067,4.732614763812781
2027-03-31,3.4253879019572797,2.0030539240730656,4.847721879841494,3.3034946941228815,2.1817701881885565,5.001937075306156
2027-09-30,4.002965231807449,2.5857545332289313,5.420175930385968,3.8401854493662775,2.540016538370709,5.805877269989723
2027-12-31,3.504973296902406,2.084500840635428,4.925445753169384,3.3607853972329305,2.220812876635253,5.085920837854174
2028-03-31,3.4157389166650804,1.9930266734081015,4.83845115992206,3.2775962738765427,2.164426948921259,4.963270920223701
2028-06-30,3.3069698078946907,1.8827745996447416,4.73116501614464,3.184887440314145,2.1022952979629306,4.8249682227323545
2028-09-30,3.4327711725998706,2.0110826501277836,4.854459695071958,3.2950741374292485,2.176618613746925,4.988248057138736
2028-12-31,3.538090282873265,2.117953432756659,4.9582271329898715,3.3893353114698392,2.239897950311933,5.128623762514074
2029-03-31,3.4346523537048648,2.013175922862227,4.8561287845475025,3.2971589749765684,2.178130523620942,4.991095431781594
2029-06-30,3.338772033269064,1.9156915903797387,4.761852476158389,3.2134629521266573,2.1218473345414393,4.866676304458181
2029-09-30,3.453869303338265,2.0327301801870763,4.875008426489453,3.314110912156057,2.18954451199535,5.016263007168852
2029-12-31,3.5524283581249656,2.1326220687300976,4.972234647519834,3.402596176687208,2.248878421341622,5.148193264578294
2030-03-31,3.4587086946086703,2.037613525319279,4.879803863898061,3.3180980891430156,2.1922068367085563,5.022233643657882
2030-06-30,3.3711478633979644,1.9486286058789264,4.793667120917002,3.2410062085879274,2.140384432342562,4.90758626599109
2030-09-30,3.4761845765240422,2.0553126716219823,4.897056481426102,3.3333888068743796,2.2024525500800665,5.045048955715963
2030-12-31,3.565607653074653,2.145902139371049,4.985313166778257,3.414098362974966,2.2565468881322177,5.165444464447301
