,us_delinquency_all,us_delinquency_consumer,us_delinquency_cc,us_delinquency_realestate
1985-03-31,4.61,,,
1985-06-30,4.92,,,
1985-09-30,4.91,,,
1985-12-31,4.77,,,
1986-03-31,4.86,,,
1986-06-30,4.74,,,
1986-09-30,4.75,,,
1986-12-31,4.66,,,
1987-03-31,5.63,3.35,,4.97
1987-06-30,5.47,3.28,,4.78
1987-09-30,5.33,3.29,,4.68
1987-12-31,5.32,3.31,,4.81
1988-03-31,5.13,3.27,,4.78
1988-06-30,5.04,3.26,,4.83
1988-09-30,5.07,3.24,,4.79
1988-12-31,4.67,3.3,,4.43
1989-03-31,4.93,3.43,,4.72
1989-06-30,4.99,3.52,,4.76
1989-09-30,5.05,3.57,,4.99
1989-12-31,4.94,3.58,,5.07
1990-03-31,5.03,3.6,,5.37
1990-06-30,5.08,3.61,,5.66
1990-09-30,5.38,3.81,,6.05
1990-12-31,5.99,4.01,,7.06
1991-03-31,6.13,4.12,5.26,7.33
1991-06-30,6.2,4.21,5.48,7.37
1991-09-30,6.0,4.17,5.35,7.19
1991-12-31,5.83,4.1,5.32,7.09
1992-03-31,5.55,3.96,5.27,6.62
1992-06-30,5.43,3.84,5.1,6.55
1992-09-30,5.22,3.71,4.98,6.25
1992-12-31,4.85,3.55,4.69,5.77
1993-03-31,4.52,3.49,4.6,5.52
1993-06-30,4.21,3.39,4.46,5.13
1993-09-30,3.87,3.2,4.08,4.7
1993-12-31,3.38,2.98,3.91,4.25
1994-03-31,3.17,2.88,3.6,3.93
1994-06-30,2.87,2.76,3.29,3.62
1994-09-30,2.66,2.71,3.25,3.31
1994-12-31,2.52,2.74,3.29,3.02
1995-03-31,2.54,2.87,3.48,3.04
1995-06-30,2.51,3.0,3.7,2.94
1995-09-30,2.51,3.19,3.85,2.88
1995-12-31,2.47,3.3,3.95,2.72
1996-03-31,2.43,3.34,4.04,2.67
1996-06-30,2.47,3.49,4.27,2.67
1996-09-30,2.43,3.62,4.46,2.59
1996-12-31,2.4,3.69,4.6,2.58
1997-03-31,2.37,3.75,4.7,2.43
1997-06-30,2.31,3.76,4.73,2.35
1997-09-30,2.25,3.71,4.7,2.29
