Variable,Winning model,RMSE,mae,r2_oos,dm_star,dm_p,cw_stat,cw_p,lb_stat,lb_p,n_origins,DM-validated
us_real_gdp,AR,123.788,90.4426,0.232,1.18,0.2419,8.038,0.0,11.297,0.1854,75,Yes
us_unemployment,SARMA,0.2492,0.1853,0.393,1.385,0.1701,2.608,0.0046,13.973,0.0825,75,Yes
us_cpi,SARMA,0.8632,0.6222,0.315,1.121,0.2659,2.095,0.0181,5.908,0.6576,75,Yes
us_consumer_confidence,AR,0.4521,0.2785,0.405,1.213,0.2289,2.656,0.004,4.808,0.7779,75,Yes
us_bond_yield_10y,RW,0.416,0.3227,0.0,0.341,0.734,0.341,0.3665,8.628,0.3747,75,No
us_credit,SARMA,541.1988,216.8596,-1.715,-1.065,0.2903,4.645,0.0,39.626,0.0,75,No
us_sp500_close,RW,201.8478,141.6108,-0.0,-1.243,0.2179,-1.243,0.893,13.116,0.1079,75,No
us_vix,ARMA,6.1106,4.2343,0.138,1.034,0.3046,1.689,0.0456,10.691,0.2198,75,Yes
us_house_price_idx,ARMA,4.1711,1.2908,-7.067,-0.993,0.3242,2.14,0.0162,6.251,0.6191,75,No
us_industrial_production,SARMA,1.2546,0.783,0.15,0.7,0.4864,2.0,0.0227,7.99,0.4344,75,Yes
us_oil_price,AR,13.787,9.8717,0.046,0.726,0.4704,1.427,0.0768,4.663,0.7929,75,No
us_reer,AR,2.7987,2.2684,-0.312,-2.18,0.0334,-1.898,0.9711,5.157,0.7406,59,No
