Variable,Parent,date,SARIMA_error,naive_error
us_gdp_yoy_growth,us_real_gdp,2023-03-31,0.001827570649832072,0.007352579776963212
us_gdp_yoy_growth,us_real_gdp,2023-06-30,0.0008431889495554701,0.006413789383141876
us_gdp_yoy_growth,us_real_gdp,2023-09-30,0.006440685536790878,0.011773226745007276
us_gdp_yoy_growth,us_real_gdp,2023-12-31,0.0015973528538939842,0.008653739763882704
us_gdp_yoy_growth,us_real_gdp,2024-03-31,-0.005844294683641354,0.0021541821120129217
us_gdp_yoy_growth,us_real_gdp,2024-06-30,0.004871237489997715,0.009051571446671876
us_gdp_yoy_growth,us_real_gdp,2024-09-30,0.004134598062137213,0.008408655159371517
us_gdp_yoy_growth,us_real_gdp,2024-12-31,-0.0020913731517154437,0.004687550198013595
us_gdp_yoy_growth,us_real_gdp,2025-03-31,-0.006764871613007067,-0.001660679420290752
us_gdp_yoy_growth,us_real_gdp,2025-06-30,0.008404631501068191,0.009566311960556713
us_gdp_yoy_growth,us_real_gdp,2025-09-30,0.007925347679678897,0.010897512071646619
us_gdp_yoy_growth,us_real_gdp,2025-12-31,-0.006764338356151725,0.001225910945317922
us_house_price_yoy,us_house_price_idx,2023-03-31,-0.007301269954825438,-0.001075937161206111
us_house_price_yoy,us_house_price_idx,2023-06-30,0.008784845234107401,0.011042330370106086
us_house_price_yoy,us_house_price_idx,2023-09-30,0.01013807733914748,0.015175406486369376
us_house_price_yoy,us_house_price_idx,2023-12-31,-0.00044609474218290575,0.007509566466664201
us_house_price_yoy,us_house_price_idx,2024-03-31,-0.0040902002520864225,0.0023937906631834264
us_house_price_yoy,us_house_price_idx,2024-06-30,0.0015814655788692678,0.005228278171599991
us_house_price_yoy,us_house_price_idx,2024-09-30,0.0021150063678419253,0.005771895503546258
us_house_price_yoy,us_house_price_idx,2024-12-31,0.002826531484996316,0.0067567381987741855
us_house_price_yoy,us_house_price_idx,2025-03-31,-0.004828934834398524,-0.0006101890302955352
us_house_price_yoy,us_house_price_idx,2025-06-30,-0.006885820496053448,-0.005156021236642196
us_house_price_yoy,us_house_price_idx,2025-09-30,-0.003266310822539701,-0.004296727723186878
us_house_price_yoy,us_house_price_idx,2025-12-31,0.0028214441274527183,0.00039186558857361083
us_indprod_yoy,us_industrial_production,2023-03-31,0.01817845117936147,0.012368984532111861
us_indprod_yoy,us_industrial_production,2023-06-30,-0.010204767363821272,-0.00891821259577494
us_indprod_yoy,us_industrial_production,2023-09-30,0.010110319003835777,0.008900029419953033
us_indprod_yoy,us_industrial_production,2023-12-31,-0.00817771232262566,-0.0041897873432338575
us_indprod_yoy,us_industrial_production,2024-03-31,0.0005425217717748722,-0.0014412916190278382
us_indprod_yoy,us_industrial_production,2024-06-30,0.004504117669406137,0.004359785696307311
us_indprod_yoy,us_industrial_production,2024-09-30,-0.010295655821961113,-0.01074626983867726
us_indprod_yoy,us_industrial_production,2024-12-31,0.006640902917588916,0.005157892748831675
us_indprod_yoy,us_industrial_production,2025-03-31,0.008476613729642242,0.007098524251549276
us_indprod_yoy,us_industrial_production,2025-06-30,0.0008161479262387322,0.004342180902729513
us_indprod_yoy,us_industrial_production,2025-09-30,-0.003933765633756968,0.0018986377900057465
us_indprod_yoy,us_industrial_production,2025-12-31,-0.002441675481147095,-0.0017333268213138725
us_oil_yoy,us_oil_price,2023-03-31,-0.11173468192352826,-0.04456381179747329
us_oil_yoy,us_oil_price,2023-06-30,-0.04751098383464934,-0.04658500371195258
us_oil_yoy,us_oil_price,2023-09-30,0.2359881691393536,0.25165811537980226
us_oil_yoy,us_oil_price,2023-12-31,-0.24487327845038406,-0.2355289421157684
us_oil_yoy,us_oil_price,2024-03-31,0.20897203732487343,0.15948731501057073
us_oil_yoy,us_oil_price,2024-06-30,-0.07592884990205523,-0.015992074724030504
us_oil_yoy,us_oil_price,2024-09-30,-0.12124746624327833,-0.15511732951415666
us_oil_yoy,us_oil_price,2024-12-31,0.036616965234786275,0.05132841841702598
us_oil_yoy,us_oil_price,2025-03-31,-0.04556529028901159,-0.006788947117675003
us_oil_yoy,us_oil_price,2025-06-30,-0.05632074578392925,-0.06724616684776057
us_oil_yoy,us_oil_price,2025-09-30,-0.052555633200703056,-0.04552727272727266
us_oil_yoy,us_oil_price,2025-12-31,-0.10232295146371229,-0.08158475980121485
