,ML_OLS_primary,ML_OLS_R1_nodummy,ML_OLS_R2_all13,ML_OLS_R2_samplectrl,ML_OLS_R3_rawtarget,ML_Ridge,ML_Lasso,ML_Elastic_Net,ML_KRR,ML_SVR,ML_Random_Forest,ML_XGBoost,ML_MLP
2026-03-31,3.1641,3.1855,3.2129,3.1237,2.9546,3.1768,3.1844,3.1844,3.1547,3.1895,3.7879,3.6383,3.1453
2026-06-30,2.2473,2.3392,2.0807,2.1934,1.7567,2.2756,2.3145,2.3145,2.2328,3.1824,3.9184,3.5262,2.7147
2026-09-30,2.8635,2.9725,2.8119,2.8223,2.5458,2.8836,2.9117,2.9117,2.8485,3.2497,4.0857,3.774,3.0488
2026-12-31,3.1277,3.2205,3.0725,3.0837,2.8614,3.1443,3.1639,3.1639,3.1059,3.3445,4.1801,3.7808,3.189
2027-03-31,3.4038,3.4813,3.3604,3.3642,3.196,3.4159,3.4275,3.4275,3.3774,3.3961,4.2196,3.8147,3.3262
2027-06-30,3.4733,3.5305,3.4629,3.4338,3.2359,3.4842,3.494,3.494,3.4411,3.4151,4.26,3.9379,3.3577
2027-09-30,3.294,3.3475,3.2596,3.2433,3.0732,3.3062,3.3113,3.3113,3.2845,3.3343,4.1809,4.0762,3.2339
2027-12-31,3.3702,3.4212,3.339,3.32,3.1803,3.3806,3.3821,3.3821,3.3692,3.3512,4.1732,3.9085,3.2597
2028-03-31,3.545,3.5926,3.5318,3.497,3.3974,3.5525,3.5491,3.5491,3.5471,3.4249,4.1979,4.0282,3.3379
2028-06-30,3.5918,3.6346,3.5667,3.5442,3.4644,3.5983,3.5929,3.5929,3.597,3.4458,4.1743,4.0434,3.3537
2028-09-30,3.3982,3.4314,3.3615,3.3453,3.2746,3.4068,3.4025,3.4025,3.4188,3.3566,4.184,3.9866,3.2406
2028-12-31,3.5498,3.5704,3.5187,3.4988,3.4848,3.5554,3.546,3.546,3.5758,3.4158,4.0349,3.917,3.303
2029-03-31,3.5599,3.5696,3.5228,3.5092,3.5146,3.5649,3.5541,3.5541,3.5901,3.4147,3.8387,3.9202,3.2976
2029-06-30,3.2579,3.2586,3.2041,3.2035,3.1337,3.2672,3.2638,3.2638,3.2886,3.2852,3.7315,4.087,3.143
2029-09-30,3.5948,3.5905,3.5622,3.5538,3.4616,3.5999,3.5957,3.5957,3.5958,3.4281,4.0295,3.6169,3.3271
2029-12-31,3.3453,3.3383,3.2977,3.3054,3.0869,3.3547,3.3612,3.3612,3.3293,3.321,3.6241,3.5656,3.2154
2030-03-31,3.3005,3.2894,3.2526,3.2622,3.0048,3.3108,3.3202,3.3202,3.2759,3.3052,3.3191,3.5751,3.1962
2030-06-30,3.161,3.1452,3.1022,3.1193,2.8458,3.173,3.1845,3.1845,3.1413,3.2493,3.2614,3.5756,3.1207
2030-09-30,3.0897,3.0719,3.0282,3.05,2.7215,3.1032,3.119,3.119,3.0587,3.2299,3.2043,2.7844,3.0917
2030-12-31,3.2307,3.2092,3.1782,3.1935,2.9014,3.2419,3.2542,3.2542,3.1995,3.2774,2.9767,2.7717,3.1586
