Model,Window,Train RMSE,RMSE,MAE,sMAPE,Skill vs persist,Skill vs mean,LB p,DM stat,DM p,DM sig,Sign,Sign p,R2_oos (vs persist)
OLS,Full (20Q),0.6087,1.0999,0.8141,26.61,-0.7737,0.1964,0.1376,1.7929,0.0889,No,9/20,0.8238,-2.1461
OLS,Clean (14Q),0.6087,1.1213,0.8566,25.27,-0.5839,-0.0728,0.0026,1.2135,0.2465,No,7/14,1.0,-1.5087
Ridge,Full (20Q),0.6089,1.0894,0.8043,26.23,-0.7568,0.204,0.1305,1.7671,0.0933,No,9/20,0.8238,-2.0862
Ridge,Clean (14Q),0.6089,1.119,0.8538,25.19,-0.5806,-0.0705,0.0025,1.2078,0.2486,No,7/14,1.0,-1.4983
Lasso,Full (20Q),0.6105,1.0408,0.7713,25.34,-0.6784,0.2396,0.1097,1.6304,0.1195,No,9/20,0.8238,-1.8169
Lasso,Clean (14Q),0.6105,1.0896,0.8347,24.8,-0.5391,-0.0424,0.0021,1.1387,0.2754,No,7/14,1.0,-1.3689
Elastic Net,Full (20Q),0.6105,1.0408,0.7713,25.34,-0.6784,0.2396,0.1097,1.6304,0.1195,No,9/20,0.8238,-1.8169
Elastic Net,Clean (14Q),0.6105,1.0896,0.8347,24.8,-0.5391,-0.0424,0.0021,1.1387,0.2754,No,7/14,1.0,-1.3689
KRR,Full (20Q),0.5442,0.696,0.535,18.24,-0.1223,0.4915,0.0183,0.4437,0.6623,No,11/20,0.8238,-0.2596
KRR,Clean (14Q),0.5442,0.7647,0.6155,19.45,-0.0802,0.2684,0.0022,0.2602,0.7988,No,8/14,0.7905,-0.1668
SVR,Full (20Q),0.6846,1.4916,1.1669,37.21,-1.4054,-0.0898,0.0,1.9253,0.0693,No,9/20,0.8238,-4.7858
SVR,Clean (14Q),0.6846,1.0167,0.7124,21.91,-0.4361,0.0273,0.0009,0.7246,0.4815,No,9/14,0.424,-1.0625
Random Forest,Full (20Q),0.5706,1.3416,1.0846,35.03,-1.1634,0.0198,0.0,2.144,0.0452,Yes,7/20,0.2632,-3.6803
Random Forest,Clean (14Q),0.5706,1.1057,0.8254,24.57,-0.5618,-0.0578,0.0006,1.0954,0.2932,No,7/14,1.0,-1.4391
XGBoost,Full (20Q),0.0095,1.1596,0.9355,31.1,-0.87,0.1528,0.0047,1.9148,0.0707,No,7/20,0.2632,-2.4968
XGBoost,Clean (14Q),0.0095,0.912,0.7005,21.42,-0.2883,0.1275,0.0834,0.8381,0.4171,No,7/14,1.0,-0.6597
MLP,Full (20Q),0.9426,0.673,0.5319,19.43,-0.0852,0.5083,0.0001,0.2722,0.7884,No,11/20,0.8238,-0.1777
MLP,Clean (14Q),0.9426,0.6464,0.5079,16.92,0.087,0.3816,0.001,-0.2681,0.7928,No,9/14,0.424,0.1663
Naive persistence,Full (20Q),,0.6201,0.5476,21.71,0.0,0.5469,0.0,,,No,0/20,,0.0
Naive persistence,Clean (14Q),,0.708,0.6451,24.44,0.0,0.3227,0.0108,,,No,0/14,,0.0
Long-run mean,Full (20Q),,1.3687,1.2651,40.81,-1.2071,0.0,0.0,2.3811,0.0279,Yes,5/20,0.0414,-3.8714
Long-run mean,Clean (14Q),,1.0453,0.9846,29.9,-0.4765,0.0,0.0108,1.3124,0.2121,No,5/14,0.424,-1.1799
Unemployment only,Full (20Q),,0.6267,0.5122,17.41,-0.0106,0.5421,0.0348,0.0365,0.9713,No,15/20,0.0414,-0.0213
Unemployment only,Clean (14Q),,0.7417,0.6746,21.71,-0.0477,0.2904,0.0177,0.1513,0.8821,No,9/14,0.424,-0.0976
