date,TS_Naive_RW,TS_AR1,TS_SARIMA,TS_SARIMAX,TS_ARDL,TS_VAR,TS_SARIMAX_lo95,TS_SARIMAX_hi95
2026-03-31,2.94,2.9214,2.9037,2.9352,2.9671,2.8361,2.6302,3.2402
2026-06-30,2.94,2.9029,2.8497,2.8979,2.8007,2.7023,2.4059,3.39
2026-09-30,2.94,2.8845,2.8269,2.9051,2.7983,2.5967,2.2423,3.5678
2026-12-31,2.94,2.8663,2.8245,2.9415,2.8513,2.5507,2.1101,3.7729
2027-03-31,2.94,2.8481,2.8016,2.956,2.9553,2.5093,2.0045,3.9075
2027-06-30,2.94,2.8301,2.7737,2.9531,3.0513,2.466,1.8867,4.0196
2027-09-30,2.94,2.8122,2.7744,2.9725,3.0906,2.4335,1.794,4.1509
2027-12-31,2.94,2.7944,2.7813,2.9933,3.1383,2.4191,1.7064,4.2802
2028-03-31,2.94,2.7767,2.7774,2.9961,3.2176,2.4125,1.6225,4.3697
2028-06-30,2.94,2.7591,2.7764,2.9889,3.2984,2.4012,1.5345,4.4432
2028-09-30,2.94,2.7416,2.7821,2.9933,3.3251,2.3844,1.4625,4.524
2028-12-31,2.94,2.7243,2.7857,2.9988,3.3806,2.369,1.3958,4.6018
2029-03-31,2.94,2.707,2.7895,2.9991,3.4309,2.3637,1.3357,4.6626
2029-06-30,2.94,2.6899,2.7963,2.9913,3.4078,2.3586,1.2721,4.7106
2029-09-30,2.94,2.6729,2.7988,2.9946,3.4654,2.3543,1.2234,4.7659
2029-12-31,2.94,2.656,2.7986,2.9992,3.4638,2.3478,1.1794,4.8191
2030-03-31,2.94,2.6391,2.8016,3.0016,3.4531,2.3392,1.1398,4.8634
2030-06-30,2.94,2.6224,2.8053,3.0033,3.4115,2.3307,1.1029,4.9037
2030-09-30,2.94,2.6058,2.805,3.0079,3.36,2.3201,1.0716,4.9442
2030-12-31,2.94,2.5893,2.8039,3.0152,3.3451,2.3089,1.0455,4.9849
