model,MSE,RMSE,MAE,MAPE%,skill%,beats_RW,window,n,DM*,DM_p,CW_p
ARDL,0.0369,0.1922,0.1293,3.8,22.1,Yes,full_backtest,67,,,
SARIMA,0.0495,0.2224,0.1446,4.03,9.9,Yes,full_backtest,67,,,
AR(1),0.0588,0.2425,0.1549,4.17,1.7,No,full_backtest,67,,,
SARIMAX,0.0602,0.2453,0.1471,3.95,0.6,Yes,full_backtest,67,,,
Naive RW,0.0609,0.2467,0.1567,4.28,0.0,—,full_backtest,67,,,
VAR,0.0624,0.2497,0.155,4.59,-1.2,No,full_backtest,67,,,
SARIMAX,0.018,0.1342,0.0852,3.37,33.5,Yes,ml_holdout,14,2.106,0.0552,0.0056
ARDL,0.0225,0.1499,0.0998,3.93,25.7,Yes,ml_holdout,14,1.946,0.0735,0.0007
SARIMA,0.0249,0.1577,0.094,3.92,21.8,Yes,ml_holdout,14,2.669,0.0193,0.0007
AR(1),0.0302,0.1737,0.1303,5.07,13.9,No,ml_holdout,14,0.79,0.4439,0.1981
Naive RW,0.0407,0.2018,0.1436,5.71,0.0,—,ml_holdout,14,,,
VAR,0.0574,0.2395,0.1463,6.0,-18.7,No,ml_holdout,14,-0.653,0.5249,0.4486
SARIMAX,0.0053,0.0728,0.0589,2.03,48.2,Yes,ml_holdout_gapdrop,13,1.933,0.0772,0.0136
SARIMA,0.007,0.0838,0.0623,2.32,40.4,Yes,ml_holdout_gapdrop,13,2.333,0.0378,0.0025
ARDL,0.0086,0.0926,0.0729,2.54,34.0,Yes,ml_holdout_gapdrop,13,1.686,0.1176,0.0025
Naive RW,0.0197,0.1405,0.1115,4.04,0.0,—,ml_holdout_gapdrop,13,,,
AR(1),0.0225,0.15,0.1126,4.1,-6.8,No,ml_holdout_gapdrop,13,-2.169,0.0509,0.9701
VAR,0.0371,0.1927,0.114,4.34,-37.2,No,ml_holdout_gapdrop,13,-0.633,0.5386,0.4374
SARIMAX,0.0177,0.1331,0.0844,3.35,34.0,Yes,ml_holdout_static,14,2.142,0.0517,0.0048
ARDL,0.0228,0.1511,0.0977,3.85,25.1,Yes,ml_holdout_static,14,1.858,0.0859,0.0005
SARIMA,0.025,0.158,0.0942,3.92,21.7,Yes,ml_holdout_static,14,2.663,0.0195,0.0007
AR(1),0.0302,0.1737,0.1305,5.07,13.9,No,ml_holdout_static,14,0.79,0.4437,0.1966
Naive RW,0.0407,0.2018,0.1436,5.71,0.0,—,ml_holdout_static,14,,,
VAR,0.049,0.2215,0.1224,5.16,-9.7,No,ml_holdout_static,14,-0.385,0.7067,0.2661
